Date,Time,Temperature,Humidity,Wind Speed,Weather Condition
2024-12-06,15:00:00,14.73,22,2.29,clear sky
2024-12-06,18:00:00,13.65,22,1.73,scattered clouds
2024-12-06,21:00:00,12.4,22,1.92,overcast clouds
2024-12-07,00:00:00,12.47,22,1.36,overcast clouds
2024-12-07,03:00:00,12.79,22,0.89,overcast clouds
2024-12-07,06:00:00,17.43,16,1.68,overcast clouds
2024-12-07,09:00:00,18.55,16,2.32,overcast clouds
2024-12-07,12:00:00,15.07,22,1.3,overcast clouds
2024-12-07,15:00:00,13.74,26,2.07,overcast clouds
2024-12-07,18:00:00,12.89,28,2.54,overcast clouds
2024-12-07,21:00:00,12.47,28,3.13,overcast clouds
2024-12-08,00:00:00,12.09,27,2.57,overcast clouds
2024-12-08,03:00:00,12.82,24,1.3,overcast clouds
2024-12-08,06:00:00,16.85,17,1.62,overcast clouds
2024-12-08,09:00:00,17.92,17,2.31,overcast clouds
2024-12-08,12:00:00,13.72,24,2.1,broken clouds
2024-12-08,15:00:00,11.56,29,2.64,scattered clouds
2024-12-08,18:00:00,10.55,28,2.49,few clouds
2024-12-08,21:00:00,9.31,29,1.86,clear sky
2024-12-09,00:00:00,7.99,33,0.98,clear sky
2024-12-09,03:00:00,9.18,33,0.82,clear sky
2024-12-09,06:00:00,14.19,31,2.22,clear sky
2024-12-09,09:00:00,15.83,25,2.64,clear sky
2024-12-09,12:00:00,12.03,27,2.02,clear sky
2024-12-09,15:00:00,9.92,32,2.58,clear sky
2024-12-09,18:00:00,9.11,31,2.51,clear sky
2024-12-09,21:00:00,8.41,25,2.48,clear sky
2024-12-10,00:00:00,8.03,26,2.02,few clouds
2024-12-10,03:00:00,8.84,32,2.01,broken clouds
2024-12-10,06:00:00,15.26,21,1.82,broken clouds
2024-12-10,09:00:00,16.83,17,2.46,broken clouds
2024-12-10,12:00:00,12.43,26,1.73,broken clouds
2024-12-10,15:00:00,10.53,30,1.98,overcast clouds
2024-12-10,18:00:00,9.43,31,1.76,overcast clouds
2024-12-10,21:00:00,8.57,32,1.9,clear sky
2024-12-11,00:00:00,7.97,31,1.91,clear sky
2024-12-11,03:00:00,9.12,28,1.79,clear sky
2024-12-11,06:00:00,15.82,18,1.91,clear sky
2024-12-11,09:00:00,17.49,15,2.35,clear sky
2024-12-11,12:00:00,12.37,23,1.64,clear sky
